Rtg.,Vwrs.,Game,Conf.,Time,Net,Away,Home,Notes
0.3,340K,Bowling Green/Akron,,8:00 PM,ESPN2,,,
0.1,113K,Toledo/Kent State,,8:00 PM,ESPNU,,,
"Wednesday, November 5","Wednesday, November 5","Wednesday, November 5",,"Wednesday, November 5","Wednesday, November 5",,,
0.4,533K,No. Illinois/Ball St.,,8:00 PM,ESPN2,,,
0.1,81K,Buffalo/Ohio,,8:00 PM,ESPNU,,,
"Thursday, November 6","Thursday, November 6","Thursday, November 6",,"Thursday, November 6","Thursday, November 6",,,
1.2,1.90M,Clemson/Wake Forest,,7:30 PM,ESPN,,,
"Friday, November 7","Friday, November 7","Friday, November 7",,"Friday, November 7","Friday, November 7",,,
0.4,603K,Utah St./Wyoming,,8:00 PM,ESPN2,,,
0.2,307K,Memphis/Temple,,7:30 PM,ESPNU,,,
"Saturday, November 8","Saturday, November 8","Saturday, November 8",,"Saturday, November 8","Saturday, November 8",,,
5.3,9.11M,Alabama/LSU,,8:00 PM,CBS,,,
4.4,7.21M,Texas A&M/Auburn,,3:30 PM,CBS,,,
3.9,6.83M,Ohio State/Michigan St.,,8:00 PM,ABC,,,
3.0,4.67M,Notre Dame/Arizona State,,3:30 PM,ABC,,,
1.9,2.74M,Georgia/Kentucky,,12:00 PM,ESPN,,,
1.6,2.70M,Oregon/Utah,,10:30 PM,ESPN,,,
1.3,2.25M,Kansas St./TCU,,7:30 PM,FOX,,,
1.3,2.05M,Baylor/Oklahoma,,12:00 PM,FS1,,,
1.2,1.91M,Virginia/FSU,,6:30 PM,ESPN,,,
1.0,1.57M,Michigan/Northwestern,,3:30 PM,ESPN2,,,
0.8,1.32M,West Virginia/Texas,,3:30 PM,FS1,,,
0.8,1.05M,Iowa/Minnesota,,12:00 PM,ESPN2,,,
0.5,848K,Wisconsin/Purdue,,12:00 PM,ESPNU,,,
0.4,574K,UCLA/Washington,,7:00 PM,FS1,,,
0.3,433K,Louisville/Boston College,,7:15 PM,ESPN2,,,
0.1,154K,Tulane/Houston,,3:30 PM,ESPNU,,,
0.1,140K,Hawaii/Colorado St.,,7:00 PM,ESPNU,,,
"Thursday, October 30","Thursday, October 30","Thursday, October 30",,"Thursday, October 30","Thursday, October 30",,,
3.1,4.97M,FSU/Louisville,,7:30 PM,ESPN,,,
0.1,85K,Troy/Georgia Southern,,7:30 PM,ESPNU,,,
"Friday, October 31","Friday, October 31","Friday, October 31",,"Friday, October 31","Friday, October 31",,,
0.4,648K,Cincinnati/Tulane,,8:00 PM,ESPN2,,,
0.2,249K,Tulsa/Memphis,,8:00 PM,ESPNU,,,
"Saturday, November 1","Saturday, November 1","Saturday, November 1",,"Saturday, November 1","Saturday, November 1",,,
3.7,5.71M,Florida/Georgia,,3:30 PM,CBS,,,
3.4,5.80M,Auburn/Mississippi,,7:00 PM,ESPN,,,
2.7,4.43M,TCU/West Virginia or Purdue/Nebraska,,3:30 PM,ABC,,,
2.3,3.89M,Notre Dame/Navy,,8:00 PM,CBS,,,
2.1,3.62M,Illinois/Ohio State or Oklahoma St./Kansas St.,,8:00 PM,ABC,,,
1.7,2.55M,Arizona/UCLA,,10:30 PM,ESPN,,,
1.5,2.48M,Stanford/Oregon,,7:30 PM,FOX,,,
1.4,2.30M,Arkansas/Mississippi State,,7:15 PM,ESPN2,,,
1.4,1.94M,Wisconsin/Rutgers,,12:00 PM,ESPN,,,
1.1,1.71M,Maryland/Penn State,,12:00 PM,ESPN2,,,
1.1,1.66M,Air Force/Army,,11:30 AM,CBS,,,
0.7,1.02M,ABC reverse mirror,,3:30 PM,ESPN2,,,
0.6,863K,Duke/Pittsburgh,,12:00 PM,ESPNU,,,
0.5,792K,Utah/Arizona State,,11:00 PM,FS1,,,
0.5,763K,Oklahoma/Iowa State,,12:00 PM,FS1,,,
0.4,791K,Texas/Texas Tech,,7:30 PM,FS1,,,
0.3,414K,Wyoming/Fresno State,,10:30 PM,ESPN2,,,
0.3,390K,Virginia/Ga. Tech,,3:30 PM,ESPNU,,,
0.2,322K,Kansas/Baylor,,4:00 PM,FS1,,,
0.2,257K,ECU/Temple,,12:00 PM,ESPNEWS,,,
0.0,68K,Houston/USF,,4:00 PM,ESPNEWS,,,
0.0,63K,Old Dominion/Vanderbilt,,7:00 PM,ESPNU,,,
"Tuesday, October 21","Tuesday, October 21","Tuesday, October 21",,"Tuesday, October 21","Tuesday, October 21",,,
0.3,374K,Arkansas St./UL-Lafayette,,8:00 PM,ESPN2,,,
"Thursday, October 23","Thursday, October 23","Thursday, October 23",,"Thursday, October 23","Thursday, October 23",,,
0.8,1.22M,Miami/Virginia Tech,,7:30 PM,ESPN,,,
0.3,395K,UConn/ECU,,7:00 PM,ESPNU,,,
"Friday, October 24","Friday, October 24","Friday, October 24",,"Friday, October 24","Friday, October 24",,,
0.7,1.18M,Oregon/Cal,,10:00 PM,FS1,,,
0.6,1.02M,BYU/Boise St.,,9:00 PM,ESPN,,,
0.4,576K,USF/Cincinnati,,7:00 PM,ESPN2,,,
0.1,105K,Troy/South Alabama,,7:30 PM,ESPNU,,,
"Saturday, October 25","Saturday, October 25","Saturday, October 25",,"Saturday, October 25","Saturday, October 25",,,
3.1,5.00M,Mississippi St./Kentucky,,3:30 PM,CBS,,,
3.0,4.95M,Mississippi/LSU,,7:15 PM,ESPN,,,
2.9,4.67M,Ohio State/Penn St.,,8:00 PM,ABC,,,
2.4,3.80M,Michigan/Michigan St.,,3:30 PM,ABC,,,
2.0,3.06M,Texas/Kansas State,,12:00 PM,ESPN,,,
1.5,2.59M,Alabama/Tennessee,,7:15 PM,ESPN2,,,
1.2,1.78M,West Virginia/Oklahoma St.,,3:30 PM,ESPN,,,
1.1,1.76M,Arizona St./Washington,,10:45 PM,ESPN,,,
0.8,1.17M,Texas Tech/TCU,,3:30 PM,FOX,,,
0.8,1.13M,Rutgers/Nebraska,,12:00 PM,ESPN2,,,
0.5,767K,USC/Utah,,10:00 PM,FS1,,,
0.4,731K,Oregon St./Stanford,,3:30 PM,ESPN2,,,
0.4,633K,Minnesota/Illinois,,12:00 PM,ESPNU,,,
0.4,614K,Syracuse/Clemson,,7:00 PM,ESPNU,,,
0.2,352K,Georgia Tech/Pittsburgh,,3:30 PM,ESPNU,,,
0.1,138K,UNLV/Utah State,,4:00 PM,ESPNEWS,,,
0.1,137K,FAU/Marshall,,3:30 PM,FS1,,,
0.1,87K,Memphis/SMU,,12:00 PM,ESPNEWS,,,
"Tuesday, October 14","Tuesday, October 14","Tuesday, October 14",,"Tuesday, October 14","Tuesday, October 14",,,
0.3,436K,UL-Lafayette/Texas St.,,8:00 PM,ESPN2,,,
"Thursday, October 16","Thursday, October 16","Thursday, October 16",,"Thursday, October 16","Thursday, October 16",,,
0.9,1.36M,Virginia Tech/Pittsburgh,,7:30 PM,ESPN,,,
0.1,86K,Utah/Oregon St.,,10:00 PM,"FS2, Pac-12",,,
"Friday, October 17","Friday, October 17","Friday, October 17",,"Friday, October 17","Friday, October 17",,,
1.0,1.62M,Fresno St./Boise St.,,8:00 PM,ESPN,,,
0.2,250K,Temple/Houston,,9:00 PM,ESPNU,,,
"Saturday, October 18","Saturday, October 18","Saturday, October 18",,"Saturday, October 18","Saturday, October 18",,,
7.9,13.25M,Notre Dame/FSU,,8:00 PM,ABC,,,
2.8,4.20M,Texas A&M/Alabama,,3:30 PM,CBS,,,
2.4,3.80M,Rutgers/Ohio State or UCLA/Cal,,3:30 PM,ABC,,,
2.3,3.39M,Kansas St./Oklahoma,,12:00 PM,ESPN,,,
1.6,2.70M,Tennessee/Mississippi,,7:00 PM,ESPN,,,
1.4,2.17M,Michigan St./Indiana,,3:30 PM,ESPN,,,
1.0,1.64M,Baylor/West Virginia,,12:00 PM,FS1,,,
0.9,1.31M,Stanford/Arizona St.,,10:30 PM,ESPN,,,
0.7,1.16M,Missouri/Florida,,7:00 PM,ESPN2,,,
0.6,1.01M,Oklahoma St./TCU,,4:00 PM,FS1,,,
0.5,1.13M,Washington/Oregon,,8:00 PM,FS1,,,
0.5,770K,Iowa/Maryland,,12:00 PM,ESPN2,,,
0.4,710K,ABC reverse mirror,,3:30 PM,ESPN2,,,
0.4,559K,Clemson/Boston College,,3:30 PM,ESPNU,,,
0.3,461K,Georgia Tech/North Carolina,,7:00 PM,ESPNU,,,
0.2,404K,Nevada/BYU,,10:15 PM,ESPN2,,,
0.1,109K,Tulane/UCF,,12:00 PM,ESPNU,,,
0.1,84K,USF/Tulsa,,12:00 PM,ESPNEWS,,,
"Thursday, October 9","Thursday, October 9","Thursday, October 9",,"Thursday, October 9","Thursday, October 9",,,
0.9,1.34M,BYU/UCF,,7:30 PM,ESPN,,,
"Friday, October 10","Friday, October 10","Friday, October 10",,"Friday, October 10","Friday, October 10",,,
0.9,1.31M,Wash. St./Stanford,,9:00 PM,ESPN,,,
0.1,163K,San Diego St./New Mexico,,9:30 PM,ESPNU,,,
"Saturday, October 11","Saturday, October 11","Saturday, October 11",,"Saturday, October 11","Saturday, October 11",,,
3.8,6.00M,Auburn/Mississippi St.,,3:30 PM,CBS,,,
2.8,4.38M,TCU/Baylor or Michigan St./Purdue,,3:30 PM,ABC,,,
2.8,4.24M,Texas/Oklahoma,,12:00 PM,ABC,,,
2.5,4.09M,Mississippi/Texas A&M,,9:00 PM,ESPN,,,
2.2,3.65M,Alabama/Arkansas,,6:00 PM,ESPN,,,
2.0,3.19M,North Carolina/Notre Dame,,3:30 PM,NBC,,,
2.0,2.99M,Georgia/Missouri,,12:00 PM,CBS,,,
1.4,2.36M,Penn St./Michigan,,7:00 PM,ESPN2,,,
1.3,1.95M,FSU/Syracuse,,12:00 PM,ESPN,,,
1.2,1.79M,USC/Arizona,,10:30 PM,ESPN2,,,
1.1,1.75M,Oregon/UCLA,,3:30 PM,FOX,,,
0.7,1.05M,Illinois/Wisconsin,,12:00 PM,ESPN2,,,
0.3,568K,Louisville/Clemson,,3:30 PM,ESPNU,,,
0.3,518K,West Virginia/Texas Tech,,12:00 PM,FS1,,,
0.3,465K,ABC Reverse Mirror,,3:30 PM,ESPN2,,,
0.2,375K,Indiana/Iowa,,12:00 PM,ESPNU,,,
0.2,320K,ECU/USF,,7:00 PM,ESPNU,,,
0.2,296K,Oklahoma St./Kansas,,4:00 PM,FS1,,,
0.1,162K,Air Force/Utah State,,10:15 PM,ESPNU,,,
0.1,129K,UConn/Tulane,,8:00 PM,ESPNEWS,,,
0.1,77K,Tulsa/Temple,,12:00 PM,ESPNEWS,,,
"Thursday, October 2","Thursday, October 2","Thursday, October 2",,"Thursday, October 2","Thursday, October 2",,,
1.5,2.38M,Arizona/Oregon,,10:30 PM,ESPN,,,
0.5,744K,UCF/Houston,,7:00 PM,ESPN,,,
"Friday, October 3","Friday, October 3","Friday, October 3",,"Friday, October 3","Friday, October 3",,,
1.1,1.64M,Louisville/Syracuse,,7:00 PM,ESPN,,,
0.8,1.17M,Utah St./BYU,,10:15 PM,ESPN,,,
"Saturday, October 4","Saturday, October 4","Saturday, October 4",,"Saturday, October 4","Saturday, October 4",,,
3.7,5.92M,Alabama/Mississippi,,3:30 PM,CBS,,,
2.8,4.56M,Nebraska/Michigan St.,,8:00 PM,ABC,,,
2.6,4.10M,Texas A&M/Mississippi St.,,12:00 PM,ESPN,,,
2.3,3.58M,Wake Forest/FSU or Baylor/Texas,,3:30 PM,ABC,,,
2.2,3.40M,Stanford/Notre Dame,,3:30 PM,NBC,,,
2.2,3.35M,Ohio St./Maryland,,12:00 PM,ABC,,,
2.1,3.74M,LSU/Auburn,,7:00 PM,ESPN,,,
1.4,2.29M,Arizona State/USC,,7:30 PM,FOX,,,
1.3,2.21M,Oklahoma/TCU,,3:30 PM,FOX,,,
1.3,2.03M,Utah/UCLA,,10:30 PM,ESPN,,,
0.8,1.26M,Wisconsin/Northwestern,,3:30 PM,ESPN2,,,
0.7,1.13M,Miami/Ga. Tech,,7:30 PM,ESPN2,,,
0.4,585K,Purdue/Illinois,,12:00 PM,ESPN2,,,
0.3,511K,Iowa St./Oklahoma St.,,12:00 PM,FS1,,,
0.3,445K,N.C. State/Clemson,,3:30 PM,ESPNU,,,
0.2,480K,Texas Tech/Kansas State,,7:00 PM,ESPNU,,,
0.1,147K,SMU/ECU,,12:00 PM,ESPNU,,,
0.0,75K,UNLV/San Diego St.,,8:00 PM,ESPNEWS,,,
"Thursday, September 25","Thursday, September 25","Thursday, September 25",,"Thursday, September 25","Thursday, September 25",,,
1.1,1.84M,Texas Tech/Oklahoma St.,,7:30 PM,ESPN,,,
0.6,883K,UCLA/Arizona St.,,10:00 PM,FS1,,,
0.1,156K,App. St./Georgia Southern,,7:30 PM,ESPNU,,,
"Friday, September 26","Friday, September 26","Friday, September 26",,"Friday, September 26","Friday, September 26",,,
0.6,838K,Fresno St./New Mexico,,8:00 PM,ESPN2,,,
0.1,127K,Mid. Tenn./Old Dominion,,8:00 PM,FS1,,,
"Saturday, September 27","Saturday, September 27","Saturday, September 27",,"Saturday, September 27","Saturday, September 27",,,
3.5,5.49M,FSU/N.C. State or Minnesota/Michigan,,3:30 PM,ABC,,,
3.1,4.72M,Tennessee/Georgia,,12:00 PM,ESPN,,,
2.7,4.38M,Arkansas/Texas A&M,,3:30 PM,CBS,,,
2.6,4.05M,Notre Dame/Syracuse,,8:00 PM,ABC,,,
1.9,3.38M,Missouri/South Carolina,,7:00 PM,ESPN,,,
1.6,2.69M,Oregon St./USC,,10:30 PM,ESPN,,,
1.0,1.44M,Stanford/Washington,,4:00 PM,FOX,,,
0.8,1.30M,Baylor/Iowa St.,,8:00 PM,FOX,,,
0.7,1.16M,Duke/Miami,,7:30 PM,ESPN2,,,
0.6,933K,ABC Reverse Mirror,,3:30 PM,ESPN2,,,
0.5,803K,Wyoming/Michigan St.,,12:00 PM,ESPN2,,,
0.3,680K,UNC/Clemson,,7:00 PM,ESPNU,,,
0.3,590K,USF/Wisconsin,,12:00 PM,ESPNU,,,
0.3,529K,Texas/Kansas (post-MLB),,4:50 PM,FS1,,,
0.2,309K,Wake Forest/Louisville,,3:30 PM,ESPNU,,,
0.1,239K,Texas/Kansas (start),,4:00 PM,FS2,,,
0.1,176K,Texas State/Tulsa,,8:00 PM,ESPNEWS,,,
0.1,109K,Temple/UConn,,4:00 PM,ESPNEWS,,,
0.1,107K,Tulane/Rutgers,,12:00 PM,ESPNEWS,,,
"Thursday, September 18","Thursday, September 18","Thursday, September 18",,"Thursday, September 18","Thursday, September 18",,,
2.3,3.85M,Auburn/Kansas St.,,7:30 PM,ESPN,,,
0.0,43K,Ark-Pine Bluff/Alabama State,,7:30 PM,ESPNU,,,
"Friday, September 19","Friday, September 19","Friday, September 19",,"Friday, September 19","Friday, September 19",,,
1.0,1.36M,UConn/USF,,8:00 PM,ESPN,,,
"Saturday, September 20","Saturday, September 20","Saturday, September 20",,"Saturday, September 20","Saturday, September 20",,,
5.1,7.95M,Florida/Alabama,,3:30 PM,CBS,,,
4.5,7.34M,Clemson/FSU,,8:00 PM,ABC,,,
2.1,3.47M,Mississippi St./LSU,,7:00 PM,ESPN,,,
2.1,3.14M,Ga. Tech/Va. Tech,,12:00 PM,ESPN,,,
2.0,3.22M,Oklahoma/West Virginia,,7:30 PM,FOX,,,
2.0,3.18M,Oregon/Washington St.,,10:30 PM,ESPN,,,
1.8,2.84M,Utah/Michigan or Texas A&M/SMU,,3:30 PM,ABC,,,
1.0,1.82M,Miami/Nebraska,,8:00 PM,ESPN2,,,
1.0,1.64M,Virginia/BYU,,3:30 PM,ESPN,,,
0.6,884K,Iowa/Pittsburgh,,12:00 PM,ESPNU,,,
0.6,856K,Bowling Green/Wisconsin,,12:00 PM,ESPN2,,,
0.4,682K,North Carolina/ECU,,3:30 PM,ESPNU,,,
0.3,510K,N. Illinois/Arkansas,,7:00 PM,ESPNU,,,
0.3,403K,ABC Reverse Mirror,,3:30 PM,ESPN2,,,
0.2,242K,Texas State/Illinois,,4:00 PM,ESPNEWS,,,
0.1,171K,San Diego St./Oregon St.,,10:30 PM,FS1,,,
0.1,162K,W. Illinois/Northwestern,,12:00 PM,ESPNEWS,,,
0.1,119K,Louisville/FIU (until 7 PM),,4:30 PM,FS1,,,
0.0,8K,Louisville/FIU (full game),,4:30 PM,FS2,,,
"Thursday, September 11","Thursday, September 11","Thursday, September 11",,"Thursday, September 11","Thursday, September 11",,,
0.6,1.05M,Houston/BYU,,9:00 PM,ESPN,,,
"Friday, September 12","Friday, September 12","Friday, September 12",,"Friday, September 12","Friday, September 12",,,
0.9,1.29M,Baylor/Buffalo,,8:00 PM,ESPN,,,
0.3,394K,Toledo/Cincinnati,,7:00 PM,ESPNU,,,
"Saturday, September 13","Saturday, September 13","Saturday, September 13",,"Saturday, September 13","Saturday, September 13",,,
4.1,6.77M,Georgia/South Carolina,,5:00 PM,CBS,,,
2.2,3.76M,Tennessee/Oklahoma,,8:00 PM,ABC,,,
2.1,3.28M,Arkansas/Texas Tech,,3:30 PM,ABC,,,
1.9,3.13M,Purdue/Notre Dame,,7:30 PM,NBC,,,
1.9,2.96M,Kent State/Ohio State or Boise St./UConn,,12:00 PM,ABC,,,
1.7,2.56M,ECU/Virginia Tech,,12:00 PM,ESPN,,,
1.6,2.65M,UCLA/Texas,,8:00 PM,FOX,,,
1.1,1.78M,Southern Miss/Alabama,,6:00 PM,ESPN2,,,
1.1,1.75M,USC/Boston College,,8:00 PM,ESPN,,,
1.0,1.66M,Iowa State/Iowa,,3:30 PM,ESPN,,,
0.7,1.05M,Illinois/Washington,,4:00 PM,FOX,,,
0.6,956K,Rice/Texas A&M,,9:00 PM,ESPN2,,,
0.4,709K,UL-Monroe/LSU,,7:00 PM,ESPNU,,,
0.3,466K,ABC reverse mirror,,12:00 PM,ESPN2,,,
0.3,432K,Arkansas St./Miami,,3:30 PM,ESPNU,,,
0.3,406K,Arizona St./Colorado,,10:00 PM,ESPNU,,,
0.2,312K,Indiana/Bowling Green,,12:00 PM,ESPNU,,,
0.2,283K,Minnesota/TCU,,4:00 PM,FS1,,,
0.2,254K,Syracuse/Cent. Mich.,,12:00 PM,ESPNEWS,,,
0.1,252K,Pittsburgh/FIU (pre-delay),,12:00 PM,FS1,,,
0.1,185K,Mississippi St./So. Alabama,,4:00 PM,ESPNEWS,,,
0.0,52K,Navy/Texas St.,,8:00 PM,ESPNEWS,,,
0.0,34K,Pittsburgh/FIU (post-delay),,3:08 PM,FS2,,,
"Thursday, September 4","Thursday, September 4","Thursday, September 4",,"Thursday, September 4","Thursday, September 4",,,
0.3,425K,Arizona/UTSA,,8:00 PM,FS1,,,
"Friday, September 5","Friday, September 5","Friday, September 5",,"Friday, September 5","Friday, September 5",,,
1.2,1.87M,Pittsburgh/Boston College,,7:00 PM,ESPN,,,
0.8,1.22M,Washington St./Nevada,,10:30 PM,ESPN,,,
"Saturday, September 6","Saturday, September 6","Saturday, September 6",,"Saturday, September 6","Saturday, September 6",,,
4.1,6.54M,USC/Stanford,,3:30 PM,ABC,,,
3.5,5.98M,Michigan St./Oregon,,6:30 PM,FOX,,,
2.7,4.63M,Michigan/Notre Dame,,7:30 PM,NBC,,,
2.6,4.31M,Virginia Tech/Ohio State,,8:00 PM,ESPN,,,
2.1,3.19M,Oklahoma/Tulsa or Akron Penn State,,12:00 PM,ABC,,,
0.8,1.23M,Missouri/Toledo,,12:00 PM,ESPN,,,
0.7,1.13M,Mississippi/Vanderbilt,,4:30 PM,ESPN,,,
0.6,1.02M,San Jose St./Auburn,,7:00 PM,ESPN2,,,
0.5,976K,ECU/South Carolina,,7:00 PM,ESPNU,,,
0.5,959K,McNeese State/Nebraska,,12:00 PM,ESPNU,,,
0.5,910K,BYU/Texas,,7:30 PM,FS1,,,
0.4,686K,Colorado St./Boise St.,,10:15 PM,ESPN2,,,
0.4,605K,Ball State/Iowa,,3:30 PM,ESPN2,,,
0.4,596K,ABC reverse mirror,,12:00 PM,ESPN2,,,
0.4,596K,Kansas St./Iowa St.,,12:00 PM,FS1,,,
0.4,537K,Ohio/Kentucky,,3:30 PM,ESPNU,,,
0.3,447K,Texas Tech/UTEP,,11:00 PM,FS1,,,
0.2,304K,Georgia Tech/Tulane,,4:00 PM,ESPNEWS,,,
0.2,262K,Air Force/Wyoming,,10:15 PM,ESPNU,,,
0.2,223K,Cent. Michigan/Purdue,,12:00 PM,ESPNEWS,,,
0.1,260K,San Diego St./North Carolina,,8:00 PM,ESPNEWS,,,
"Wednesday, August 27","Wednesday, August 27","Wednesday, August 27",,"Wednesday, August 27","Wednesday, August 27",,,
0.2,287K,Abilene Christian/Ga. State,,7:00 PM,ESPNU,,,
"Thursday, August 28","Thursday, August 28","Thursday, August 28",,"Thursday, August 28","Thursday, August 28",,,
1.5,2.42M,Boise St./Mississippi,,8:00 PM,ESPN,,,
0.3,394K,Rutgers/Wash. St.,,10:00 PM,FS1,,,
0.1,168K,Wake Forest/UL-Monroe,,7:00 PM,ESPNU,,,
"Friday, August 29","Friday, August 29","Friday, August 29",,"Friday, August 29","Friday, August 29",,,
0.7,1.08M,BYU/UConn,,7:00 PM,ESPN,,,
0.7,955K,UNLV/Arizona,,10:30 PM,ESPN,,,
0.4,592K,Colorado St./Colorado,,9:00 PM,FS1,,,
0.1,221K,UTSA/Houston,,9:00 PM,ESPNU,,,
"Saturday, August 30","Saturday, August 30","Saturday, August 30",,"Saturday, August 30","Saturday, August 30",,,
4.0,6.40M,West Virginia/Alabama or Cal/Northwestern,,3:30 PM,ABC,,,
3.8,6.03M,FSU/Oklahoma St.,,8:00 PM,ABC,,,
2.8,4.68M,Wisconsin/LSU,,9:00 PM,ESPN,,,
2.3,3.95M,Clemson/Georgia,,5:30 PM,ESPN,,,
1.9,2.92M,UCLA/Virginia,,12:00 PM,ESPN,,,
1.3,2.10M,Rice/Notre Dame,,3:30 PM,NBC,,,
0.9,1.35M,Fresno St./USC,,7:30 PM,FOX,,,
0.9,1.29M,Penn St./UCF,,8:30 AM,ESPN2,,,
0.9,1.29M,Appalachian State/Michigan,,12:00 PM,ESPN2,,,
0.4,532K,ABC Reverse Mirror,,3:30 PM,ESPN2,,,
0.2,423K,Idaho/Florida,,7:00 PM,ESPNU,,,
0.2,407K,NDSU/Iowa St.,,12:00 PM,FS1,,,
0.2,373K,S. Dakota St./Missouri,,3:30 PM,ESPNU,,,
0.1,278K,William & Mary/Va. Tech,,4:00 PM,ESPNEWS,,,
0.1,157K,Western Michigan/Purdue,,12:00 PM,ESPNU,,,
0.1,112K,Indiana State/Indiana,,12:00 PM,ESPNEWS,,,
0.0,81K,N.C. Central/ECU,,8:00 PM,ESPNEWS,,,
"Sunday, August 31","Sunday, August 31","Sunday, August 31",,"Sunday, August 31","Sunday, August 31",,,
0.5,699K,Alabama A&M/N.C. A&T,,11:45 AM,ESPN,,,
0.4,762K,SMU/Baylor,,7:30 PM,FS1,,,
"Monday, September 1","Monday, September 1","Monday, September 1",,"Monday, September 1","Monday, September 1",,,
2.3,3.61M,Miami/Louisville,,8:00 PM,ESPN,,,
"Thursday, August 29","Thursday, August 29",,,"Thursday, August 29","Thursday, August 29","Thursday, August 29","Thursday, August 29",
2.4,3.65M,,,6:00 PM,ESPN,North Carolina,South Carolina,
1.9,2.74M,,,9:15 PM,ESPN,Mississippi,Vanderbilt,
0.2,311K,,,8:00 PM,FS1,Utah State,Utah,
0.2,241K,,,10:30 PM,ESPNU,Rutgers,Fresno State,
0.1,199K,,,7:00 PM,ESPNU,Tulsa,Bowling Green,
"Friday, August 30","Friday, August 30",,,"Friday, August 30","Friday, August 30","Friday, August 30","Friday, August 30",
1.3,2.13M,,,8:00 PM,ESPN,Texas Tech,SMU,
0.4,585K,,,8:30 PM,FS1,North Dakota St.,Kansas State,
0.3,541K,,,8:00 PM,ESPNU,Florida Atlantic,Miami,
"Saturday, August 31","Saturday, August 31",,,"Saturday, August 31","Saturday, August 31","Saturday, August 31","Saturday, August 31",
4.8,8.14M,,,8:00 PM,ABC,Georgia,Clemson,
3.0,5.17M,,,5:30 PM,ESPN,Alabama,Virginia Tech,
2.7,4.21M,,,1:00 PM,ESPN,Rice,Texas A&M,
2.4,3.67M,,,3:30 PM,ABC,Mississippi State,Oklahoma State,
2.4,3.67M,,,3:30 PM,ABC,Syracuse,Penn State,
1.9,3.17M,,,9:00 PM,ESPN,LSU,TCU,
1.6,2.50M,,,3:30 PM,NBC,Temple,Notre Dame,
1.1,1.89M,,,12:00 PM,ESPN2,Buffalo,Ohio State,
0.5,922K,,,7:00 PM,ESPNU,Washington State,Auburn,
0.5,714K,,,10:30 PM,ESPN2,Northwestern,Cal,
0.4,710K,,,10:00 PM,FS1,Boise State,Washington,
0.4,654K,,,3:30 PM,ESPN2,Reverse mirror of ABC window,Reverse mirror of ABC window,
0.3,493K,,,12:00 PM,FS1,William & Mary,West Virginia,
0.3,412K,,,4:00 PM,FS1,Nicholls State,Oregon,
0.2,328K,,,12:00 PM,ESPNU,Purdue,Cincinnati,
0.2,299K,,,3:30 PM,ESPNU,BYU,Virginia,
"Sunday, September 1","Sunday, September 1",,,"Sunday, September 1","Sunday, September 1","Sunday, September 1","Sunday, September 1",
1.2,1.76M,,,3:30 PM,ESPN,Ohio,Louisville,
"Monday, September 2 (Labor Day)","Monday, September 2 (Labor Day)",,,"Monday, September 2 (Labor Day)","Monday, September 2 (Labor Day)","Monday, September 2 (Labor Day)","Monday, September 2 (Labor Day)",
2.9,4.47M,,,8:00 PM,ESPN,FSU,Pittsburgh,
"Thursday, September 5","Thursday, September 5",,,"Thursday, September 5","Thursday, September 5","Thursday, September 5","Thursday, September 5",
0.1,181K,,,7:30 PM,FS1,FAU,ECU,
"Friday, September 6","Friday, September 6",,,"Friday, September 6","Friday, September 6","Friday, September 6","Friday, September 6",
0.8,1.09M,,,8:00 PM,ESPN2,Wake Forest,Boston College,
"Saturday, September 7","Saturday, September 7",,,"Saturday, September 7","Saturday, September 7","Saturday, September 7","Saturday, September 7",
5.3,8.65M,,,8:00 PM,ESPN,Notre Dame,Michigan,
4.3,7.05M,,,4:30 PM,ESPN,South Carolina,Georgia,
3.1,4.60M,,,12:00 PM,ESPN,Florida,Miami,
2.6,4.08M,,,3:30 PM,ABC,Oregon,Virginia,
2.6,4.08M,,,3:30 PM,ABC,San Diego State,Ohio State,
2.0,3.43M,,,7:00 PM,FOX,West Virginia,Oklahoma,
0.8,1.29M,,,8:45 PM*,ESPN2,Texas,BYU,
0.6,920K,,,3:30 PM,ESPN2,Reverse mirror of ABC window,Reverse mirror of ABC window,
0.5,825K,,,10:30 PM,FS1,Washington State,USC,
0.4,659K,,,7:30 PM*,ESPNU,UAB,LSU,
0.4,576K,,,1:00 PM*,ESPNU,USF,Michigan State,
0.4,553K,,,12:00 PM,ESPN2,Cincinnati,Illinois,
0.2,347K,,,12:00 PM,FS1,Oklahoma State,Texas-San Antonio,
0.2,326K,,,4:30 PM^,ESPNU,Toledo,Missouri,
0.2,315K,,,6:30 PM,FS1,UL-Lafayette,Kansas State,
0.1,189K,,,3:30 PM^,ESPNEWS,Toledo,Missouri,
0.1,123K,,,4:30 PM^,ESPNEWS,Old Dominion,Maryland,
"Thursday, September 12","Thursday, September 12",,,"Thursday, September 12","Thursday, September 12","Thursday, September 12","Thursday, September 12",
1.4,2.28M,,,7:30 PM,ESPN,TCU,Texas Tech,
0.1,137K,,,7:30 PM,ESPNU,Troy,Arkansas State,
0.1,124K,,,7:30 PM,FS1,Tulane,Louisiana Tech,
"Friday, September 13","Friday, September 13",,,"Friday, September 13","Friday, September 13","Friday, September 13","Friday, September 13",
1.3,2.00M,,,8:00 PM,ESPN,Air Force,Boise State,
"Saturday, September 14","Saturday, September 14",,,"Saturday, September 14","Saturday, September 14","Saturday, September 14","Saturday, September 14",
